리셀러 키	사업 유형	리셀러	도시	주/도	국가
490	창고	Extraordinary Bike Works	Mesquite	Texas	미국
202	창고	Two-Seater Bikes	Plano	Texas	미국
273	부가 가치 리셀러	A Typical Bike Shop	Round Rock	Texas	미국
93	창고	Stationary Bikes and Stands	Round Rock	Texas	미국
471	전문 자전거 매장	Social Activities Club	San Antonio	Texas	미국
580	전문 자전거 매장	Rural Sales and Service	San Antonio	Texas	미국
382	부가 가치 리셀러	Beneficial Exercises and Activities	San Antonio	Texas	미국
417	창고	Genuine Bike Shop	San Antonio	Texas	미국
328	부가 가치 리셀러	Totes & Baskets Company	San Antonio	Texas	미국
671	전문 자전거 매장	Contoso, Ltd.	San Antonio	Texas	미국
507	전문 자전거 매장	Global Sporting Goods	Stafford	Texas	미국
561	부가 가치 리셀러	Mountain Toy Store	Sugar Land	Texas	미국
673	부가 가치 리셀러	Countryside Company	Bountiful	Utah	미국
698	전문 자전거 매장	Western Bike Supplies	Cedar City	Utah	미국
672	창고	Utilitarian Sporting Goods	Ogden	Utah	미국
293	창고	Fashionable Bikes and Accessories	Park City	Utah	미국
696	창고	Roadway Supplies	Riverton	Utah	미국
43	부가 가치 리셀러	Frugal Bike Shop	Salt Lake City	Utah	미국
7	부가 가치 리셀러	Associated Bikes	Salt Lake City	Utah	미국
601	전문 자전거 매장	Transport Bikes	Sandy	Utah	미국
697	부가 가치 리셀러	Brakes and Gears	Tooele	Utah	미국
90	창고	Sales and Supply Company	Chantilly	Virginia	미국
467	부가 가치 리셀러	The Cycle Store	Falls Church	Virginia	미국
485	부가 가치 리셀러	Clamps & Brackets Co.	Leesburg	Virginia	미국
17	전문 자전거 매장	Trusted Catalog Store	Newport News	Virginia	미국
449	부가 가치 리셀러	Bike Products and Accessories	Virginia Beach	Virginia	미국
254	창고	Safe Cycles Shop	Bellevue	Washington	미국
290	창고	Friendly Bike Shop	Bellingham	Washington	미국
621	부가 가치 리셀러	Running and Cycling Gear	Bellingham	Washington	미국
325	전문 자전거 매장	All Cycle Shop	Bothell	Washington	미국
19	부가 가치 리셀러	Center Cycle Shop	Bothell	Washington	미국
469	창고	Vast Bike Sales and Rental	Chehalis	Washington	미국
343	부가 가치 리셀러	Mail-Order Outlet	Ellensburg	Washington	미국
344	전문 자전거 매장	Fifth Bike Store	Everett	Washington	미국
308	창고	Rugged Bikes	Everett	Washington	미국
596	창고	Coho Sports	Everett	Washington	미국
669	창고	Racing Bike Outlet	Federal Way	Washington	미국
109	부가 가치 리셀러	Travel Sports	Issaquah	Washington	미국
505	창고	Honest Repair Service	Kelso	Washington	미국
668	전문 자전거 매장	Official Parts Shop	Kelso	Washington	미국
470	부가 가치 리셀러	Wingtip Toys	Kennewick	Washington	미국
326	창고	Year-Round Sports	Kent	Washington	미국
20	전문 자전거 매장	Central Discount Store	Kent	Washington	미국
542	부가 가치 리셀러	Finer Parts Shop	Kirkland	Washington	미국
433	부가 가치 리셀러	Thorough Parts and Repair Services	Lacey	Washington	미국
218	부가 가치 리셀러	Sure & Reliable Sporting Goods	Longview	Washington	미국
235	전문 자전거 매장	Certified Bicycle Supply	Lynnwood	Washington	미국
73	부가 가치 리셀러	Outdoor Sports Supply	North Bend	Washington	미국
200	부가 가치 리셀러	Basic Bike Company	Port Orchard	Washington	미국
253	전문 자전거 매장	Roving Sports	Puyallup	Washington	미국
37	부가 가치 리셀러	Two Bike Shops	Puyallup	Washington	미국
307	전문 자전거 매장	Riding Associates	Puyallup	Washington	미국
578	창고	The Bike Shop	Puyallup	Washington	미국
127	창고	Front Sporting Goods	Redmond	Washington	미국
145	창고	Raw Materials Inc	Redmond	Washington	미국
2	전문 자전거 매장	Progressive Sports	Renton	Washington	미국
289	전문 자전거 매장	Moderately-Priced Bikes Store	Renton	Washington	미국
199	창고	Authorized Bike Sales and Rental	Renton	Washington	미국
236	창고	Closeout Boutique	Seattle	Washington	미국
1	부가 가치 리셀러	A Bike Store	Seattle	Washington	미국
146	부가 가치 리셀러	Latest Sports Equipment	Seattle	Washington	미국
397	부가 가치 리셀러	Capable Sales and Service	Seattle	Washington	미국
361	부가 가치 리셀러	Fitness Supplies	Sequim	Washington	미국
217	창고	City Manufacturing	Shelton	Washington	미국
362	전문 자전거 매장	Grand Cycle Store	Spokane	Washington	미국
415	부가 가치 리셀러	Imaginary Toys	Spokane	Washington	미국
605	창고	Outstanding Cycles	Spokane	Washington	미국
577	전문 자전거 매장	Synthetic Materials Manufacturing	Tacoma	Washington	미국
272	창고	Metro Cycle Shop	Tacoma	Washington	미국
416	전문 자전거 매장	Impromptu Trips	Union Gap	Washington	미국
271	전문 자전거 매장	Alternative Vehicles	Washougal	Washington	미국
128	부가 가치 리셀러	Demand Distributors	Wenatchee	Washington	미국
92	전문 자전거 매장	Sports Commodities	Woodinville	Washington	미국
543	전문 자전거 매장	Friendly Neighborhood Bikes	Johnson Creek	Wisconsin	미국
453	전문 자전거 매장	Unique Bikes	Milwaukee	Wisconsin	미국
606	부가 가치 리셀러	Little Bicycle Supply Shop	Mosinee	Wisconsin	미국
418	부가 가치 리셀러	Good Bike Shop	Racine	Wisconsin	미국
506	부가 가치 리셀러	Great Bikes	Casper	Wyoming	미국
559	전문 자전거 매장	Some Discount Store	Cheyenne	Wyoming	미국
380	전문 자전거 매장	First Department Stores	Cheyenne	Wyoming	미국
620	창고	Tires and Tubes	Cheyenne	Wyoming	미국
560	창고	Major Sport Suppliers	Rock Springs	Wyoming	미국
105	창고	Volume Bike Sellers	Alexandria	New South Wales	오스트레일리아
658	부가 가치 리셀러	Mass Market Bikes	Alexandria	New South Wales	오스트레일리아
555	부가 가치 리셀러	Twin Cycles	Darlinghurst	New South Wales	오스트레일리아
87	창고	Rich Department Store	Lane Cove	New South Wales	오스트레일리아
141	전문 자전거 매장	Rental Gallery	Lavender Bay	New South Wales	오스트레일리아
15	창고	Budget Toy Store	Lavender Bay	New South Wales	오스트레일리아
33	창고	Global Sports Outlet	Lavender Bay	New South Wales	오스트레일리아
69	창고	Online Bike Catalog	Lavender Bay	New South Wales	오스트레일리아
231	부가 가치 리셀러	Helmets and Cycles	Lavender Bay	New South Wales	오스트레일리아
501	전문 자전거 매장	Jumbo Bikes	Malabar	New South Wales	오스트레일리아
321	부가 가치 리셀러	Second Bike Shop	Matraville	New South Wales	오스트레일리아
339	창고	Major Bicycle Store	Matraville	New South Wales	오스트레일리아
616	전문 자전거 매장	Eastward Bike Accessories	Matraville	New South Wales	오스트레일리아
393	창고	Gears and Parts Company	Milsons Point	New South Wales	오스트레일리아
682	부가 가치 리셀러	Popular Bike Lines	Newcastle	New South Wales	오스트레일리아
285	부가 가치 리셀러	Nearest Bike Store	North Ryde	New South Wales	오스트레일리아
159	전문 자전거 매장	Uncompromising Quality Co	North Ryde	New South Wales	오스트레일리아
123	전문 자전거 매장	First Supplies	North Ryde	New South Wales	오스트레일리아
195	전문 자전거 매장	Inexpensive Parts Shop	North Sydney	New South Wales	오스트레일리아
411	창고	Kids and Adults Cycle Shop	North Sydney	New South Wales	오스트레일리아
303	부가 가치 리셀러	Seaside Bike Works	North Sydney	New South Wales	오스트레일리아
483	전문 자전거 매장	Fitness Bike Accessories	Rhodes	New South Wales	오스트레일리아
573	부가 가치 리셀러	Nationwide Supply	Rhodes	New South Wales	오스트레일리아
537	전문 자전거 매장	Preferable Bikes	Rhodes	New South Wales	오스트레일리아
634	전문 자전거 매장	Sensible Sports	Rhodes	New South Wales	오스트레일리아
429	창고	Unusual Bicycle Company	Silverwater	New South Wales	오스트레일리아
447	전문 자전거 매장	Cross-town Parts Shop	Springwood	New South Wales	오스트레일리아
465	전문 자전거 매장	Expert Cycle Store	St. Leonards	New South Wales	오스트레일리아
688	부가 가치 리셀러	Bike Part Wholesalers	Sydney	New South Wales	오스트레일리아
375	창고	Region Bike Company	East Brisbane	Queensland	오스트레일리아
177	전문 자전거 매장	Plastic Products Manufacturers	Hawthorne	Queensland	오스트레일리아
51	창고	Ideal Components	Cloverdale	South Australia	오스트레일리아
357	창고	Quality Bike Sales	Findon	South Australia	오스트레일리아
640	전문 자전거 매장	Liquidation Sales	Perth	South Australia	오스트레일리아
591	부가 가치 리셀러	Fitness Discount Store	Melbourne	Victoria	오스트레일리아
664	부가 가치 리셀러	Eastside Cycle Shop	Melbourne	Victoria	오스트레일리아
519	전문 자전거 매장	List Price Catalog Company	Melbourne	Victoria	오스트레일리아
267	부가 가치 리셀러	Cycle Parts and Accessories	Melbourne	Victoria	오스트레일리아
249	부가 가치 리셀러	Helpful Sales and Repair Service	Seaford	Victoria	오스트레일리아
213	전문 자전거 매장	Fast Bike Works	South Melbourne	Victoria	오스트레일리아
190	창고	Racing Partners	Calgary	Alberta	캐나다
262	전문 자전거 매장	General Industries	Calgary	Alberta	캐나다
46	부가 가치 리셀러	Gear-Shift Bikes Limited	Calgary	Alberta	캐나다
136	창고	Wholesale Parts	Calgary	Alberta	캐나다
137	부가 가치 리셀러	Transportation Options	Calgary	Alberta	캐나다
444	전문 자전거 매장	Finer Cycle Shop	Calgary	Alberta	캐나다
354	창고	Serious Cycles	Calgary	Alberta	캐나다
370	부가 가치 리셀러	Acceptable Sales & Service	Calgary	Alberta	캐나다
661	부가 가치 리셀러	General Department Stores	Calgary	Alberta	캐나다
701	창고	Future Bikes	Calgary	Alberta	캐나다
629	창고	Efficient Cycling	Calgary	Alberta	캐나다
352	부가 가치 리셀러	Twelfth Bike Store	Edmonton	Alberta	캐나다
496	창고	Top Sports Supply	Edmonton	Alberta	캐나다
10	부가 가치 리셀러	Rural Cycle Emporium	Burnaby	British Columbia	캐나다
317	창고	Finer Riding Supplies	Burnaby	British Columbia	캐나다
263	창고	Farthest Bike Store	Burnaby	British Columbia	캐나다
588	부가 가치 리셀러	General Cycle Storehouse	Burnaby	British Columbia	캐나다
66	창고	Neighborhood Store	Burnaby	British Columbia	캐나다
172	창고	Certified Sports Supply	Richmond	British Columbia	캐나다
408	창고	Odometers and Accessories Company	Richmond	British Columbia	캐나다
497	부가 가치 리셀러	Valley Toy Store	Richmond	British Columbia	캐나다
478	창고	Major Cycling	Richmond	British Columbia	캐나다
462	전문 자전거 매장	General Riding Supplies	Richmond	British Columbia	캐나다
514	창고	Retail Mall	Richmond	British Columbia	캐나다
371	전문 자전거 매장	Custom Sales and Service	Surrey	British Columbia	캐나다
389	전문 자전거 매장	Sixth Bike Store	Surrey	British Columbia	캐나다
174	전문 자전거 매장	Toy Manufacturing Inc	Surrey	British Columbia	캐나다
173	부가 가치 리셀러	Sundry Sporting Goods	Vancouver	British Columbia	캐나다
154	창고	Camping and Sports Store	Vancouver	British Columbia	캐나다
138	전문 자전거 매장	South Bike Company	Vancouver	British Columbia	캐나다
82	부가 가치 리셀러	Refined Department Stores	Vancouver	British Columbia	캐나다
388	부가 가치 리셀러	Road Way Sales and Rental	Vancouver	British Columbia	캐나다
318	부가 가치 리셀러	First-Rate Outlet	Victoria	British Columbia	캐나다
298	전문 자전거 매장	City Cycling	Winnipeg	Manitoba	캐나다
353	전문 자전거 매장	Two-Wheeled Transit Company	Winnipeg	Manitoba	캐나다
299	창고	Citywide Service and Repair	Saint John	Brunswick	캐나다
654	부가 가치 리셀러	Online Bike Warehouse	Aurora	Ontario	캐나다
280	전문 자전거 매장	Standard Bikes	Barrie	Ontario	캐나다
426	창고	Custom Accessories Company	Brampton	Ontario	캐나다
29	전문 자전거 매장	Cross-Country Riding Supplies	Chalk Riber	Ontario	캐나다
84	창고	Rewarding Activities Company	Etobicoke	Ontario	캐나다
425	전문 자전거 매장	Bikes for Kids and Adults	Etobicoke	Ontario	캐나다
532	창고	The Showroom	Kanata	Ontario	캐나다
516	전문 자전거 매장	Seats and Saddles Company	Kingston	Ontario	캐나다
372	창고	Top Bike Market	Kingston	Ontario	캐나다
100	부가 가치 리셀러	Up-To-Date Sports	Markham	Ontario	캐나다
335	전문 자전거 매장	Scratch-Resistant Finishes Company	Mississauga	Ontario	캐나다
316	전문 자전거 매장	Low Price Cycles	Mississauga	Ontario	캐나다
534	전문 자전거 매장	Recommended Bicycles	Mississauga	Ontario	캐나다
461	부가 가치 리셀러	Active Life Toys	Mississauga	Ontario	캐나다
480	전문 자전거 매장	General Bike Corporation	Mississauga	Ontario	캐나다
498	전문 자전거 매장	Quick Delivery Service	Mississauga	Ontario	캐나다
569	창고	Designated Distributors	Nepean	Ontario	캐나다
515	부가 가치 리셀러	Rural Bicycle Supply	North York	Ontario	캐나다
228	부가 가치 리셀러	Home Town Bike Store	Ottawa	Ontario	캐나다
83	전문 자전거 매장	Requisite Part Supply	Ottawa	Ontario	캐나다
526	창고	Finer Sales and Service	Ottawa	Ontario	캐나다
677	전문 자전거 매장	Tire Exchange	Ottawa	Ontario	캐나다
587	창고	Our Sporting Goods Store	Ottawa	Ontario	캐나다
300	부가 가치 리셀러	Nice Bikes	Ottawa	Ontario	캐나다
424	부가 가치 리셀러	Bikes for Two	Richmond Hill	Ontario	캐나다
443	부가 가치 리셀러	Courteous Bicycle Specialists	Richmond Hill	Ontario	캐나다
209	부가 가치 리셀러	Purple Bicycle Company	Scarborough	Ontario	캐나다
653	창고	Mercantile Outlet	Toronto	Ontario	캐나다
630	부가 가치 리셀러	Eastside Parts Shop	Toronto	Ontario	캐나다
631	전문 자전거 매장	Tandem Sales and Service	Toronto	Ontario	캐나다
637	전문 자전거 매장	Reliable Retail Center	Toronto	Ontario	캐나다
678	창고	Vigorous Exercise Company	Toronto	Ontario	캐나다
210	전문 자전거 매장	Gasless Cycle Shop	Toronto	Ontario	캐나다
227	창고	Health Spa, Limited	Toronto	Ontario	캐나다
264	부가 가치 리셀러	Fasteners & Bolts Outlet	Toronto	Ontario	캐나다
442	창고	Original Bicycle Supply Company	Toronto	Ontario	캐나다
568	전문 자전거 매장	Economy Center	Toronto	Ontario	캐나다
551	창고	Vinyl and Plastic Goods Corporation	Toronto	Ontario	캐나다
552	부가 가치 리셀러	Consolidated Messenger	Toronto	Ontario	캐나다
28	부가 가치 리셀러	Commuter Bicycle Store	Toronto	Ontario	캐나다
64	부가 가치 리셀러	Metal Clearing House	Toronto	Ontario	캐나다
47	전문 자전거 매장	Greater Bike Store	Toronto	Ontario	캐나다
11	전문 자전거 매장	Sharp Bikes	Toronto	Ontario	캐나다
12	창고	Bikes and Motorbikes	Toronto	Ontario	캐나다
101	전문 자전거 매장	Urban Sports Emporium	Toronto	Ontario	캐나다
102	창고	National Manufacturing	Toronto	Ontario	캐나다
118	창고	Rapid Bikes	Toronto	Ontario	캐나다
208	창고	Professional Cyclists	Toronto	Ontario	캐나다
191	부가 가치 리셀러	Non-Slip Pedal Company	Toronto	Ontario	캐나다
192	전문 자전거 매장	Nuts and Bolts Mfg.	Toronto	Ontario	캐나다
155	부가 가치 리셀러	Corner Bicycle Supply	Toronto	Ontario	캐나다
613	전문 자전거 매장	Famous Bike Shop	Vancouver	Ontario	캐나다
390	창고	Plastic Parts Company	Waterloo	Ontario	캐나다
334	부가 가치 리셀러	Retreat Inn	Waterloo	Ontario	캐나다
65	전문 자전거 매장	Metro Manufacturing	Weston	Ontario	캐나다
460	창고	Price-Cutter Discount Bikes	Brossard	Quebec	캐나다
245	창고	Leather Seat Factory	Brossard	Quebec	캐나다
655	부가 가치 리셀러	Operational Manufacturing	Dorval	Quebec	캐나다
226	전문 자전거 매장	Leisure Activities	Hull	Quebec	캐나다
679	부가 가치 리셀러	Superb Sales and Repair	Montreal	Quebec	캐나다
120	전문 자전거 매장	Machines & Cycles Store	Montreal	Quebec	캐나다
570	부가 가치 리셀러	Family's Favorite Bike Shop	Montreal	Quebec	캐나다
407	전문 자전거 매장	Workout Emporium	Montreal	Quebec	캐나다
48	창고	Grand Industries	Montreal	Quebec	캐나다
246	부가 가치 리셀러	Large Bike Shop	Montreal	Quebec	캐나다
281	창고	Petroleum Products Distributors	Montreal	Quebec	캐나다
156	전문 자전거 매장	Metal Processing Company	Montreal	Quebec	캐나다
586	전문 자전거 매장	One Bike Company	Montreal	Quebec	캐나다
685	부가 가치 리셀러	Family Cycle Store	Montreal	Quebec	캐나다
244	전문 자전거 매장	Retail Discount Store	Montreal	Quebec	캐나다
336	창고	Primary Bike Distributors	Montreal	Quebec	캐나다
406	부가 가치 리셀러	The Commissary	Outremont	Quebec	캐나다
119	부가 가치 리셀러	Red Bicycle Company	Pnot-Rouge	Quebec	캐나다
30	창고	Cycle Merchants	Quebec	Quebec	캐나다
550	전문 자전거 매장	Remote Bicycle Specialists	Quebec	Quebec	캐나다
282	부가 가치 리셀러	Quick Parts and Service	Sainte-Foy	Quebec	캐나다
533	부가 가치 리셀러	Tenth Bike Store	Sillery	Quebec	캐나다
479	부가 가치 리셀러	General Supplies	Ville De'anjou	Quebec	캐나다
50	전문 자전거 매장	Hometown Riding Supplies	Berlin	Brandenburg	독일
482	부가 가치 리셀러	Fabrikam Inc., East	Eilenburg	Brandenburg	독일
633	부가 가치 리셀러	Rustic Bike Store	Augsburg	Bayern	독일
639	부가 가치 리셀러	Producer Goods Clearinghouse	Frankfurt	Bayern	독일
266	창고	Excellent Bikes	Grevenbroich	Bayern	독일
230	창고	Global Bike Retailers	Bad Soden	Hessen	독일
122	부가 가치 리셀러	Off-Price Bike Center	Berlin	Hessen	독일
518	부가 가치 리셀러	Regional Cycle Shop	Berlin	Hessen	독일
500	부가 가치 리셀러	Irregulars Outlet	Dresden	Hessen	독일
104	전문 자전거 매장	Very Best Sports Supply	Duesseldorf	Hessen	독일
356	전문 자전거 매장	Speedometer Sales	Hamburg	Hessen	독일
212	부가 가치 리셀러	Enterprise Center	München	Hessen	독일
374	전문 자전거 매장	Major Equipment Co	Salzgitter	Hessen	독일
657	창고	Links Works	Ascheim	Hamburg	독일
663	창고	Capital Riding Supplies	Augsburg	Hamburg	독일
446	부가 가치 리셀러	Fitness Toys	Berlin	Hamburg	독일
140	부가 가치 리셀러	Teen Discount Store	Bonn	Hamburg	독일
86	전문 자전거 매장	Bicycle Exporters	Essen	Hamburg	독일
320	창고	Amalgamated Parts Shop	Frankfurt am Main	Hamburg	독일
392	전문 자전거 매장	Primary Cycle Shop	Hamburg	Hamburg	독일
68	전문 자전거 매장	North Bike Company	Muehlheim	Hamburg	독일
194	부가 가치 리셀러	Mechanical Brake Manufacturers	München	Hamburg	독일
554	창고	Top of the Line Bikes	Paderborn	Hamburg	독일
284	창고	Nearby Bike Mall	Berlin	Nordrhein-Westfalen	독일
158	부가 가치 리셀러	Rural Sporting Goods	Bonn	Nordrhein-Westfalen	독일
572	창고	Versatile Sporting Goods Company	Braunschweig	Nordrhein-Westfalen	독일
428	전문 자전거 매장	West Wind Distributors	Hannover	Nordrhein-Westfalen	독일
615	부가 가치 리셀러	Fast Services	Leipzig	Nordrhein-Westfalen	독일
687	창고	Functional Store South	München	Nordrhein-Westfalen	독일
536	부가 가치 리셀러	Next Door Cycles	Berlin	Saarland	독일
14	전문 자전거 매장	Bicycle Warehouse Inc.	Frankfurt am Main	Saarland	독일
410	전문 자전거 매장	Pedaling Components	Kiel	Saarland	독일
176	부가 가치 리셀러	Rodeway Bike Store	Münster	Saarland	독일
302	창고	Best Cycle Store	Offenbach	Saarland	독일
590	창고	Lustrous Paints and Components	Poing	Saarland	독일
464	부가 가치 리셀러	Educational Services	Saarbrücken	Saarland	독일
338	전문 자전거 매장	Rambling Tours	Stuttgart	Saarland	독일
32	전문 자전거 매장	Precision Gears Inc.	Stuttgart	Saarland	독일
248	창고	Good Bicycle Store	Sulzbach Taunus	Saarland	독일
681	창고	Showcase for Cycles	Sulzbach Taunus	Saarland	독일
193	창고	자전거 세상	인천	인천광역시	한국
409	부가 가치 리셀러	휠스토리	세종	세종특별자치시	한국
481	창고	자전거 나라	대구	대구광역시	한국
121	창고	자전거 마을	대구	대구광역시	한국
175	창고	사이클 하우스	부산	부산광역시	한국
499	창고	라이딩 클럽	부산	부산광역시	한국
662	전문 자전거 매장	자전거 라이프	김해	경상남도	한국
49	부가 가치 리셀러	바이크 천국	진주	경상남도	한국
571	전문 자전거 매장	자전거 애호가	울산	울산광역시	한국
355	부가 가치 리셀러	펠로톤 스토어	서울	서울특별시	한국
391	부가 가치 리셀러	자전거 플래닛	서울	서울특별시	한국
656	전문 자전거 매장	바이크 가든	서울	서울특별시	한국
553	전문 자전거 매장	자전거 연구소	서울	서울특별시	한국
589	전문 자전거 매장	두바퀴 세상	서울	서울특별시	한국
427	부가 가치 리셀러	자전거 파라다이스	서울	서울특별시	한국
638	창고	바이크 챔프	서울	서울특별시	한국
31	부가 가치 리셀러	자전거 모험	서울	서울특별시	한국
265	전문 자전거 매장	자전거 스타일	서울	서울특별시	한국
614	창고	라이딩 존	서울	서울특별시	한국
157	창고	자전거 메이트	서울	서울특별시	한국
301	전문 자전거 매장	펠로우 라이더	서울	서울특별시	한국
211	창고	자전거 익스프레스	익산	전라북도	한국
283	전문 자전거 매장	바이크 센터	전주	전라북도	한국
13	부가 가치 리셀러	자전거 투어	제천	충청북도	한국
373	부가 가치 리셀러	바이크 매니아	제천	충청북도	한국
517	창고	자전거 러버	제천	충청북도	한국
463	창고	자전거 스테이션	제천	충청북도	한국
632	창고	두바퀴 여행	청주	충청북도	한국
67	부가 가치 리셀러	자전거 펀	충주	충청북도	한국
139	창고	사이클 힐스	성남	경기도	한국
229	전문 자전거 매장	자전거 팩토리	성남	경기도	한국
85	부가 가치 리셀러	자전거 올림픽	수원	경기도	한국
337	부가 가치 리셀러	바이크 드림	안양	경기도	한국
680	전문 자전거 매장	자전거 카페	용인	경기도	한국
686	전문 자전거 매장	라이딩 히어로	고양	경기도	한국
319	전문 자전거 매장	자전거 빌리지	구미	경상북도	한국
445	창고	바이크 랜드	포항	경상북도	한국
103	부가 가치 리셀러	자전거 어드벤처	포항	경상북도	한국
247	전문 자전거 매장	휠라이프	제주	제주특별자치도	한국
535	창고	자전거 유토피아	대전	대전광역시	한국
304	전문 자전거 매장	Essential Bike Works	Abingdon	England	영국
232	전문 자전거 매장	Exceptional Cycle Services	Basingstoke Hants	England	영국
484	창고	Downhill Bicycle Specialists	Berks	England	영국
376	부가 가치 리셀러	Commerce Bicycle Specialists	Berkshire	England	영국
412	부가 가치 리셀러	Leisure Clearing House	Birmingham	England	영국
430	부가 가치 리셀러	Uttermost Bike Shop	Bracknell	England	영국
635	창고	Sports Store	Cambridge	England	영국
52	부가 가치 리셀러	Instruments and Parts Company	Gloucestershire	England	영국
268	전문 자전거 매장	Channel Outlet	High Wycombe	England	영국
214	창고	Exclusive Bicycle Mart	Lancaster	England	영국
70	부가 가치 리셀러	Outdoor Aerobic Systems Company	London	England	영국
538	창고	Prosperous Tours	London	England	영국
574	전문 자전거 매장	Area Sheet Metal Supply	London	England	영국
16	부가 가치 리셀러	Bulk Discount Store	London	England	영국
659	전문 자전거 매장	Shipping Specialists	London	England	영국
689	전문 자전거 매장	Consumer Equipment	London	England	영국
250	전문 자전거 매장	Express Bike Services	London	England	영국
592	전문 자전거 매장	Cycling Goods	London	England	영국
641	창고	Extended Tours	London	England	영국
520	창고	Metro Metals Co.	London	England	영국
502	창고	Metropolitan Bicycle Supply	London	England	영국
665	전문 자전거 매장	Authentic Sales and Service	London	England	영국
556	전문 자전거 매장	Variety Cycling	London	England	영국
683	전문 자전거 매장	Oils and Fluids Warehouse	London	England	영국
466	창고	Central Bicycle Specialists	Maidenhead	England	영국
322	전문 자전거 매장	Tachometers and Accessories	Milton Keynes	England	영국
196	창고	Exhibition Showroom	Milton Keynes	England	영국
88	부가 가치 리셀러	Closest Bicycle Store	Milton Keynes	England	영국
617	창고	Tubeless Tire Company	Oxford	England	영국
160	창고	Vigorous Sports Store	Oxon	England	영국
286	전문 자전거 매장	Number One Bike Co.	Reading	England	영국
142	창고	Riding Cycles	Liverpool	England	영국
124	창고	Nearby Sporting Goods	W. York	England	영국
178	창고	Rampart Amusement Company	W. York	England	영국
34	부가 가치 리셀러	Cycles Wholesaler & Mfg.	Warrington	England	영국
340	부가 가치 리셀러	Nearby Cycle Shop	West Sussex	England	영국
106	부가 가치 리셀러	West Side Mart	Wokingham	England	영국
448	창고	Action Bicycle Specialists	Woolston	England	영국
358	부가 가치 리셀러	Mail Market	York	England	영국
394	부가 가치 리셀러	Little Sports Center	York	England	영국
